--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           aten::_flash_attention_backward         0.23%     176.832ms         2.48%        1.940s     404.078us        4.591s         5.56%        4.591s     956.423us          4800  
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          aten::_log_softmax_backward_data         0.01%       6.809ms         0.01%      10.846ms      27.115us        3.872s         4.69%        3.872s       9.680ms           400  
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     void at::native::(anonymous namespace)::cunn_SoftMaxBackward<8, c10::BFloat16, float, c10::BFloat16, at::native::(anonymous namespace)::LogSoftMaxBackwardEpilogue>(c10::BFloat16*, c10::BFloat16 const*, c10::BFloat16 const*, long)         0.00%       0.000us         0.00%       0.000us       0.000us        3.872s         4.69%        3.872s       9.680ms           400  
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_32x5_nn         0.00%       0.000us         0.00%       0.000us       0.000us        3.872s         4.68%        3.872s     403.289us          9600  
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn         0.00%       0.000us         0.00%       0.000us       0.000us        3.568s         4.32%        3.568s       8.919ms           400  
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        aten::_log_softmax         0.02%      12.494ms         0.14%     109.080ms     271.344us        3.255s         3.94%        3.255s       8.097ms           402  
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              void at::native::(anonymous namespace)::cunn_SoftMaxForward<8, c10::BFloat16, float, c10::BFloat16, at::native::(anonymous namespace)::LogSoftMaxForwardEpilogue>(c10::BFloat16*, c10::BFloat16 const*, int)         0.00%       0.000us         0.00%       0.000us       0.000us        3.255s         3.94%        3.255s       8.097ms           402  
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn         0.00%       0.000us         0.00%       0.000us       0.000us        3.146s         3.81%        3.146s     652.060us          4824  
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_nn         0.00%       0.000us         0.00%       0.000us       0.000us        3.120s         3.78%        3.120s     649.964us          4800  
                                                                                                                                                                                                                                                                                                                                                                                                                                                  void pytorch_flash::flash_bwd_dq_dk_dv_loop_seqk_parallel_kernel<pytorch_flash::Flash_bwd_kernel_traits<64, 128, 128, 8, 4, 4, 4, false, false, cutlass::bfloat16_t, pytorch_flash::Flash_kernel_traits<64, 128, 128, 8, cutlass::bfloat16_t> >, false, true, false, false, true, true>(pytorch_flash::Flash_bwd_params)         0.00%       0.000us         0.00%       0.000us       0.000us        3.114s         3.77%        3.114s     648.782us          4800  
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                aten::add_         0.51%     398.993ms        13.96%       10.919s     278.195us        2.528s         3.06%        2.528s      64.408us         39250  
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<float>, at::detail::Array<char*, 3> >(int, at::native::CUDAFunctor_add<float>, at::detail::Array<char*, 3>)         0.00%       0.000us         0.00%       0.000us       0.000us        2.528s         3.06%        2.528s      64.408us         39250  
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_32x3_nn         0.00%       0.000us         0.00%       0.000us       0.000us        2.383s         2.88%        2.383s     496.559us          4800  
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               void at::native::(anonymous namespace)::GammaBetaBackwardCUDAKernel_32x32<float, float>(long, long, float const*, float const*, float const*, float const*, float*, float*)         0.00%       0.000us         0.00%       0.000us       0.000us        2.364s         2.86%        2.364s     236.449us         10000  
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          void at::native::(anonymous namespace)::layer_norm_grad_input_kernel_vectorized<float, float>(float const*, float const*, float const*, float const*, float const*, float*, int)         0.00%       0.000us         0.00%       0.000us       0.000us        2.291s         2.77%        2.291s     229.056us         10000  
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       aten::gelu_backward         0.12%      93.823ms         1.91%        1.493s     311.057us        2.186s         2.65%        2.186s     455.405us          4800  
                                                                                                                                                                                                                                               void at::native::vectorized_elementwise_kernel<4, at::native::GeluBackwardCUDAKernelImpl(at::TensorIteratorBase&, at::native::GeluType)::{lambda()#2}::operator()() const::{lambda()#4}::operator()() const::{lambda(c10::BFloat16, c10::BFloat16)#1}, at::detail::Array<char*, 3> >(int, at::native::GeluBackwardCUDAKernelImpl(at::TensorIteratorBase&, at::native::GeluType)::{lambda()#2}::operator()() const::{lambda()#4}::operator()() const::{lambda(c10::BFloat16, c10::BFloat16)#1}, at::detail::Array<char*, 3>)         0.00%       0.000us         0.00%       0.000us       0.000us        2.186s         2.65%        2.186s     455.405us          4800  
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 aten::add         0.60%     471.987ms         2.06%        1.613s      14.243us        1.972s         2.39%        1.972s      17.420us        113228  
                                                                                                                                                                                                                                                        void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctor_add<float>, at::detail::Array<char*, 3>, TrivialOffsetCalculator<2, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<2>, at::native::memory::StoreWithCast<1> >(int, at::native::CUDAFunctor_add<float>, at::detail::Array<char*, 3>, TrivialOffsetCalculator<2, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<2>, at::native::memory::StoreWithCast<1>)         0.00%       0.000us         0.00%       0.000us       0.000us        1.910s         2.31%        1.910s     197.920us          9648  
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               aten::fill_         0.03%      23.653ms         0.09%      71.765ms      39.066us        1.744s         2.11%        1.744s     949.329us          1837  
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<float>, at::detail::Array<char*, 1>)         0.00%       0.000us         0.00%       0.000us       0.000us        1.744s         2.11%        1.744s     574.602us          3035  
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 aten::cat         0.36%     284.266ms         1.45%        1.131s     201.393us        1.734s         2.10%        1.734s     308.764us          5616  
                                                                                                                                                                                                                                                                                                                                       void at::native::(anonymous namespace)::CatArrayBatchedCopy_contig<at::native::(anonymous namespace)::OpaqueType<2u>, unsigned int, 3, 128, 1>(at::native::(anonymous namespace)::OpaqueType<2u>*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<at::native::(anonymous namespace)::OpaqueType<2u>, unsigned int, 128, 1>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int)         0.00%       0.000us         0.00%       0.000us       0.000us        1.734s         2.10%        1.734s     361.247us          4800  
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   aten::native_layer_norm         0.43%     333.123ms         2.50%        1.954s     194.477us        1.664s         2.01%        1.664s     165.593us         10050  
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)         0.00%       0.000us         0.00%       0.000us       0.000us        1.664s         2.01%        1.664s     165.593us         10050  
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                aten::gelu         0.15%     113.951ms         0.99%     775.719ms     160.804us        1.509s         1.83%        1.509s     312.798us          4824  
                                                                                                                                                                                                                                                                                             void at::native::vectorized_elementwise_kernel<4, at::native::GeluCUDAKernelImpl(at::TensorIteratorBase&, at::native::GeluType)::{lambda()#2}::operator()() const::{lambda()#4}::operator()() const::{lambda(c10::BFloat16)#1}, at::detail::Array<char*, 2> >(int, at::native::GeluCUDAKernelImpl(at::TensorIteratorBase&, at::native::GeluType)::{lambda()#2}::operator()() const::{lambda()#4}::operator()() const::{lambda(c10::BFloat16)#1}, at::detail::Array<char*, 2>)         0.00%       0.000us         0.00%       0.000us       0.000us        1.509s         1.83%        1.509s     312.798us          4824  
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            aten::_flash_attention_forward         0.17%     132.413ms         0.75%     584.721ms     121.211us        1.313s         1.59%        1.313s     272.113us          4824  
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                void pytorch_flash::flash_fwd_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 128, 128, 4, false, false, cutlass::bfloat16_t, pytorch_flash::Flash_kernel_traits<64, 128, 128, 4, cutlass::bfloat16_t> >, false, true, false, false, true, true, false>(pytorch_flash::Flash_fwd_params)         0.00%       0.000us         0.00%       0.000us       0.000us        1.313s         1.59%        1.313s     272.113us          4824  
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     void pytorch_flash::flash_bwd_dot_do_o_kernel<true, pytorch_flash::Flash_bwd_kernel_traits<64, 128, 128, 8, 4, 4, 4, false, false, cutlass::bfloat16_t, pytorch_flash::Flash_kernel_traits<64, 128, 128, 8, cutlass::bfloat16_t> > >(pytorch_flash::Flash_bwd_params)         0.00%       0.000us         0.00%       0.000us       0.000us     869.035ms         1.05%     869.035ms     181.049us          4800  
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_64x3_nt         0.00%       0.000us         0.00%       0.000us       0.000us     693.142ms         0.84%     693.142ms     144.405us          4800  
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    void pytorch_flash::flash_bwd_convert_dq_kernel<pytorch_flash::Flash_bwd_kernel_traits<64, 128, 128, 8, 4, 4, 4, false, false, cutlass::bfloat16_t, pytorch_flash::Flash_kernel_traits<64, 128, 128, 8, cutlass::bfloat16_t> > >(pytorch_flash::Flash_bwd_params, int)         0.00%       0.000us         0.00%       0.000us       0.000us     607.645ms         0.74%     607.645ms     126.593us          4800  
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    aten::nll_loss_forward         0.02%      12.783ms         0.27%     213.714ms     531.626us     480.971ms         0.58%     480.971ms       1.196ms           402  
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 void at::native::(anonymous namespace)::nll_loss_forward_reduce_cuda_kernel_2d<float, float, long>(float*, float*, float const*, long const*, float const*, bool, long, long, long, long)         0.00%       0.000us         0.00%       0.000us       0.000us     480.971ms         0.58%     480.971ms       1.196ms           402  
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            aten::embedding_dense_backward         0.09%      73.986ms         3.64%        2.844s       3.555ms     293.694ms         0.36%     335.267ms     419.083us           800  
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   aten::nll_loss_backward         0.01%       9.555ms         0.06%      48.435ms     121.088us     249.116ms         0.30%        1.951s       4.877ms           400  
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   void at::native::(anonymous namespace)::nll_loss_backward_reduce_cuda_kernel_2d<float, long>(float*, float const*, long const*, float const*, float const*, bool, int, int, long, long)         0.00%       0.000us         0.00%       0.000us       0.000us     249.116ms         0.30%     249.116ms     622.790us           400  
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             void at::native::(anonymous namespace)::sum_and_scatter<float, long>(long const*, float*, long, long const*, long const*, at::AccumulateType<float, true>::type const*, long const*, long const*, long, long)         0.00%       0.000us         0.00%       0.000us       0.000us     129.990ms         0.16%     129.990ms     324.975us           400  
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        aten::index_select         0.03%      20.758ms         0.74%     582.153ms     724.071us     107.948ms         0.13%     107.948ms     134.264us           804  
                                                                                                                                                                                                                                                                                                                                                                                                                                                  void at::native::(anonymous namespace)::indexSelectLargeIndex<float, long, unsigned int, 2, 2, -2, true>(at::cuda::detail::TensorInfo<float, unsigned int>, at::cuda::detail::TensorInfo<float const, unsigned int>, at::cuda::detail::TensorInfo<long const, unsigned int>, int, int, unsigned int, unsigned int, long)         0.00%       0.000us         0.00%       0.000us       0.000us     107.948ms         0.13%     107.948ms     134.264us           804  
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      void at::native::(anonymous namespace)::compute_grad_weight<float, long>(long const*, float const*, long const*, long, long, long const*, long const*, at::AccumulateType<float, true>::type*, long)         0.00%       0.000us         0.00%       0.000us       0.000us      90.353ms         0.11%      90.353ms     225.883us           400  
                                                                                                                                                                                                                                                                                                                                                                                              void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1})         0.00%       0.000us         0.00%       0.000us       0.000us      62.892ms         0.08%      62.892ms     156.448us           402  
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 Optimizer.step#AdamW.step         0.00%       0.000us         0.00%       0.000us       0.000us      43.427ms         0.05%      43.427ms       4.343ms            10  
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us      37.392ms         0.05%      37.392ms       1.989us         18800  
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 aten::sum         0.02%      12.866ms         0.10%      79.040ms     196.618us      35.771ms         0.04%      35.771ms      88.983us           402  
                                                                                                                                                                                                                                                                                                                                 void at::native::reduce_kernel<128, 4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4> >(at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4>)         0.00%       0.000us         0.00%       0.000us       0.000us      35.771ms         0.04%      35.771ms      89.428us           400  
                                                                                                                                                                                                                                                                                                                                                                                                                                                   void splitKreduce_kernel<32, 16, int, __nv_bfloat16, __nv_bfloat16, float, __nv_bfloat16, true, false, false>(cublasSplitKParams<float>, __nv_bfloat16 const*, __nv_bfloat16 const*, __nv_bfloat16*, float const*, float const*, __nv_bfloat16 const*, __nv_bfloat16 const*, __nv_bfloat16*, void*, long, float*, int*)         0.00%       0.000us         0.00%       0.000us       0.000us      33.157ms         0.04%      33.157ms       6.908us          4800  
                                                                                                                                                                                                                                                                                                                        void at_cuda_detail::cub::DeviceRadixSortOnesweepKernel<at_cuda_detail::cub::DeviceRadixSortPolicy<long, at::cuda::cub::detail::OpaqueType<8>, unsigned long long>::Policy800, false, long, at::cuda::cub::detail::OpaqueType<8>, unsigned long long, int, int>(int*, int*, unsigned long long*, unsigned long long const*, long*, long const*, at::cuda::cub::detail::OpaqueType<8>*, at::cuda::cub::detail::OpaqueType<8> const*, int, int, int)         0.00%       0.000us         0.00%       0.000us       0.000us      32.921ms         0.04%      32.921ms      10.288us          3200  
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       aten::_fused_adamw_         0.00%     825.503us         0.02%      14.256ms     712.775us      27.394ms         0.03%      27.394ms       1.370ms            20  
                                                                                                                                                                 void at::native::(anonymous namespace)::multi_tensor_apply_kernel<at::native::(anonymous namespace)::FusedOptimizerTensorListMetadata<4>, at::native::(anonymous namespace)::FusedAdamMathFunctor<float, 4, (at::native::ADAM_MODE)1, false>, float const*, double, double, double, double, double, bool, float const*, float const*>(at::native::(anonymous namespace)::FusedOptimizerTensorListMetadata<4>, at::native::(anonymous namespace)::FusedAdamMathFunctor<float, 4, (at::native::ADAM_MODE)1, false>, float const*, double, double, double, double, double, bool, float const*, float const*)         0.00%       0.000us         0.00%       0.000us       0.000us      27.394ms         0.03%      27.394ms     391.340us            70  
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      19.952ms         0.02%      19.952ms      24.754us           806  
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           cudaEventRecord         0.00%       2.801ms         0.00%       2.801ms       3.476us      19.707ms         0.02%      19.707ms      24.451us           806  
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       void at::native::(anonymous namespace)::krn_partial_segment_offset<long>(long*, long const*, long const*, long const*, long const*)         0.00%       0.000us         0.00%       0.000us       0.000us      10.406ms         0.01%      10.406ms      26.014us           400  
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          void at::native::(anonymous namespace)::embedding_backward_feature_kernel<float, float, long>(long const*, float const*, float*, int, long, int)         0.00%       0.000us         0.00%       0.000us       0.000us       9.894ms         0.01%       9.894ms      24.735us           400  
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       aten::_foreach_mul_         0.00%     617.382us         0.01%       8.931ms     893.090us       7.742ms         0.01%       7.742ms     774.150us            10  
                                                                                                                                                                                                                                                                                                                                       void at::native::(anonymous namespace)::multi_tensor_apply_kernel<at::native::(anonymous namespace)::TensorListMetadata<1>, at::native::(anonymous namespace)::BinaryOpScalarTensorFunctor<float, 1, 1, 0>, std::multiplies<float>, float*, float>(at::native::(anonymous namespace)::TensorListMetadata<1>, at::native::(anonymous namespace)::BinaryOpScalarTensorFunctor<float, 1, 1, 0>, std::multiplies<float>, float*, float)         0.00%       0.000us         0.00%       0.000us       0.000us       7.742ms         0.01%       7.742ms     129.025us            60  
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       aten::_foreach_norm         0.00%       3.887ms         0.34%     268.375ms      26.838ms       4.037ms         0.00%       4.060ms     406.002us            10  
                                                                                                                                                                                                                                                                                                                                                                                                     void at::native::(anonymous namespace)::multi_tensor_apply_kernel<at::native::(anonymous namespace)::TensorListMetadata<1>, at::native::LpNormFunctor<float, (at::native::NormType)1, float, 1, 1, 0>, float*, int>(at::native::(anonymous namespace)::TensorListMetadata<1>, at::native::LpNormFunctor<float, (at::native::NormType)1, float, 1, 1, 0>, float*, int)         0.00%       0.000us         0.00%       0.000us       0.000us       3.990ms         0.00%       3.990ms      66.495us            60  
                                                                                                                                                                                                 void at_cuda_detail::cub::DeviceUniqueByKeySweepKernel<at_cuda_detail::cub::DeviceUniqueByKeyPolicy<long const*>::Policy520, long const*, thrust::counting_iterator<int, thrust::use_default, thrust::use_default, thrust::use_default>, long*, long*, long*, at_cuda_detail::cub::ScanTileState<int, true>, at_cuda_detail::cub::Equality, int>(long const*, thrust::counting_iterator<int, thrust::use_default, thrust::use_default, thrust::use_default>, long*, long*, long*, at_cuda_detail::cub::ScanTileState<int, true>, at_cuda_detail::cub::Equality, int, int)         0.00%       0.000us         0.00%       0.000us       0.000us       2.609ms         0.00%       2.609ms       6.523us           400  
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          void at_cuda_detail::cub::DeviceRadixSortHistogramKernel<at_cuda_detail::cub::DeviceRadixSortPolicy<long, at::cuda::cub::detail::OpaqueType<8>, unsigned long long>::Policy800, false, long, unsigned long long>(unsigned long long*, long const*, unsigned long long, int, int)         0.00%       0.000us         0.00%       0.000us       0.000us       2.231ms         0.00%       2.231ms       5.578us           400  
                                                                                                                                                                                                                                                                                         void at_cuda_detail::cub::DeviceScanKernel<at_cuda_detail::cub::DeviceScanPolicy<long>::Policy600, long const*, long*, at_cuda_detail::cub::ScanTileState<long, true>, at::cuda::cub::(anonymous namespace)::SumOp<long>, at_cuda_detail::cub::detail::InputValue<long, long*>, int, long>(long const*, long*, at_cuda_detail::cub::ScanTileState<long, true>, int, at::cuda::cub::(anonymous namespace)::SumOp<long>, at_cuda_detail::cub::detail::InputValue<long, long*>, int)         0.00%       0.000us         0.00%       0.000us       0.000us       2.073ms         0.00%       2.073ms       5.182us           400  
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 aten::div         0.04%      30.308ms         0.24%     185.190ms     231.488us       1.902ms         0.00%       1.902ms       2.377us           800  
                                                                                                                                                                                                                                                                                                                                                                                                                                                       void at::native::vectorized_elementwise_kernel<4, at::native::BUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, at::detail::Array<char*, 2> >(int, at::native::BUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, at::detail::Array<char*, 2>)         0.00%       0.000us         0.00%       0.000us       0.000us       1.902ms         0.00%       1.902ms       2.377us           800  
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              aten::arange         0.03%      23.933ms         0.19%     146.538ms      91.358us       1.848ms         0.00%       3.695ms       2.304us          1604  
                                                                                    void (anonymous namespace)::elementwise_kernel_with_index<int, at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>(int, at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}, function_traits<at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>::result_type*)         0.00%       0.000us         0.00%       0.000us       0.000us       1.848ms         0.00%       1.848ms       2.304us           802  
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             void at::native::(anonymous namespace)::krn_partials_per_segment<long>(long*, long const*, long const*, long)         0.00%       0.000us         0.00%       0.000us       0.000us       1.176ms         0.00%       1.176ms       2.941us           400  
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        void at_cuda_detail::cub::DeviceCompactInitKernel<at_cuda_detail::cub::ScanTileState<int, true>, long*>(at_cuda_detail::cub::ScanTileState<int, true>, int, long*)         0.00%       0.000us         0.00%       0.000us       0.000us       1.008ms         0.00%       1.008ms       2.519us           400  
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               void at_cuda_detail::cub::DeviceRadixSortExclusiveSumKernel<at_cuda_detail::cub::DeviceRadixSortPolicy<long, at::cuda::cub::detail::OpaqueType<8>, unsigned long long>::Policy800, unsigned long long>(unsigned long long*)         0.00%       0.000us         0.00%       0.000us       0.000us     994.618us         0.00%     994.618us       2.487us           400  
